100.88.218.221, 39751,  10.131.123.248,   443,......,       7,     866,   10.60.101.113,     0,     0, 294,  1,17799,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 39751,  10.131.123.248,   443,......,       9,    1225,   10.60.101.113,     0,     0, 294,  1,17799,  E,0,  0,664070B2472F4B5193A089C9E1A927B0
  10.131.123.248,   443,  100.88.218.221, 61873,......,       1,      40,   10.60.101.113,     0,     0, 294,  3,  2,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 53921,  10.131.123.248,   443,......,       0,       0,   10.60.101.113,     0,     0, 294,  2,17799,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 53921,  10.131.123.248,   443,......,       0,       0,   10.60.101.113,     0,     0, 294,  2,17799,  E,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 34939,  10.131.123.248,   443,......,       7,     866,   10.60.101.113,     0,     0, 294,  1,17799,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 34939,  10.131.123.248,   443,......,       9,    1257,   10.60.101.113,     0,     0, 294,  1,17799,  E,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 36563,  10.131.123.248,   443,......,       7,     866,   10.60.101.113,     0,     0, 294,  1,17799,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 36563,  10.131.123.248,   443,......,       9,    1257,   10.60.101.113,     0,     0, 294,  1,17799,  E,0,  0,664070B2472F4B5193A089C9E1A927B0
  10.131.123.248,   443,  100.88.218.221, 56491,......,       1,      40,   10.60.101.113,     0,     0, 294,  3,  2,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  10.131.123.248,   443,  100.88.218.221, 27014,......,       1,      40,   10.60.101.113,     0,     0, 294,  3,  2,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  10.131.123.248,   443,  100.88.218.221, 21326,......,       1,      40,   10.60.101.113,     0,     0, 294,  3,  2,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  10.131.123.248,   443,  100.88.218.221, 26074,......,       1,      40,   10.60.101.113,     0,     0, 294,  3,  2,  I,0,  0,664070B2472F4B5193A089C9E1A927B0
  100.88.218.221, 47787,  10.131.123.248,   443,......,       6,     814,   10.60.101.113,     0,     0, 294,  1,17799,  I,0,  0,664070B2472F4B5193A089C9E1A927B0